Structure,Structure_ID,612285_Ki(nM),612286_IC50(nM),Data,calc_logP,calc_TPSA,SMILES
604557,604557,3590,100000,11,2.9,126,CCCS(=O)(=O)N3CCN(CC3)C(=O)C(CCC(=O)OC(C)(C)C)NC(=O)C2=CC=CC(=N2)C1=CC=CC=C1
603802,603802,4.5,3500,11,4.4,158.7,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OCC2CCN(CC2)C(=O)C(F)(F)F
604478,604478,3590,100000,11,2.3,118.1,COCC(=O)N3CCN(CC3)C(=O)C(CCC(=O)OC(C)(C)C)NC(=O)C2=CC=CC(=N2)C1=CC=CC=C1
604170,604170,5,1900,11,3.3,135.6,CCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)N2CCC(CC2)N(C)C
604258,604258,47,100000,11,2.9,129.1,OC(=O)CCC(NC(=O)C2=CC=CC(=N2)C1=CC=CC=C1)C(=O)N4CCN(CC4)C(=O)OC3CCCC3
603756,603756,4.5,640,11,4,150.4,CCCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OCC2CCNCC2
603608,603608,4.1,5600,11,3.9,150.5,CCCCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)OC(C)(C)C)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)NC(=O)CN(C)C
604264,604264,2.8,10000,11,3.9,149.4,CCCCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)CCCCCO
603604,603604,3,10000,11,4.3,159.7,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)OC(C)(C)C)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)NC(=O)N2CCOCC2
603793,603793,2.5,240,11,3.5,141.6,CCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OCC2CCN(C)CC2
603798,603798,5.3,550,11,3.9,150.8,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OCC2CCN(CCOC)CC2
602933,602933,1.5,710,11,3.6,144.4,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)N2CCC(CNC)CC2
604088,604088,112,29000,11,3,132.4,CCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)N2CCCCC2
564560,564560,29,28000,11,2.8,129.1,CCCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC=CC(=N2)C1=CC=CC=C1
604260,604260,28,100000,11,2.8,129.1,OC(=O)CCC(NC(=O)C2=CC=CC(=N2)C1=CC=CC=C1)C(=O)N4CCN(CC4)C(=O)OCC3CCC3
604327,604327,15,100000,11,2.8,129.1,OC(=O)CCC(NC(=O)C2=CC=CC(=N2)C1=CC=CC=C1)C(=O)N4CCN(CC4)C(=O)OCCC3CC3
604192,604192,2.8,910,11,3.8,149.4,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)C(=O)N2CCCCC2
603770,603770,11,2100,11,4.2,158.7,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OC(=O)N2CCCCC2
564664,564664,34,2000,11,3.1,135.6,CCOC(=O)N5CCN(CC5)C(=O)C(CCC(=O)O)NC(=O)C4=CC(=CC(=N4)C1=CC=CC=C1)N3CCC(CC3)N2CCCC2
604556,604556,3590,100000,11,2.5,126,CCS(=O)(=O)N3CCN(CC3)C(=O)C(CCC(=O)OC(C)(C)C)NC(=O)C2=CC=CC(=N2)C1=CC=CC=C1
561137,561137,60,34000,11,3.2,138.4,CCCCOC3=CC(=NC(=C3)C1=CC=CC=C1)C(=O)NC(CCC(=O)O)C(=O)N2CCN(CC2)C(=O)OCC
603606,603606,25,10000,11,4,156.5,CCCCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)OC(C)(C)C)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)NC(=O)COC
603786,603786,19,4700,11,4.1,158.7,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OC2CCN(CC2)C(=O)C(F)(F)F
604175,604175,10,2000,11,3.5,144.8,CCCCCOC(=O)N5CCN(CC5)C(=O)C(CCC(=O)O)NC(=O)C4=CC(=CC(=N4)C1=CC=CC=C1)N3CCC(CC3)N2CCOCC2
603599,603599,14,8300,11,3.6,147.6,CCCCCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)OCCOC
603690,603690,11,2300,11,3.6,147.6,CCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OCC2CCOCC2
603610,603610,1.4,5600,11,4.6,171.3,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)OC(C)(C)C)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)NC(=O)NCC2CCNCC2
603806,603806,1.3,7400,12,4.4,167.9,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OCC2CCN(CC2)C(=O)OCC
603751,603751,9.4,2400,12,3.7,150.4,CCCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OC2CCNCC2
603761,603761,3.7,810,12,3.7,150.4,CCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OCCC2CCCCN2
604161,604161,94,100000,12,2.6,129.1,OC(=O)CCC(NC(=O)C2=CC=CC(=N2)C1=CC=CC=C1)C(=O)N3CCN(CC3)C(=O)OCC(F)(F)F
603777,603777,2.5,2000,12,3.3,141.6,CCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OC2CCN(C)CC2
604025,604025,2.1,100000,12,3.3,141.6,CCCCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)N(C)CCOC
604169,604169,6.5,1000,12,3.4,144.4,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)N2CCC(CC2)NC
603782,603782,9.9,1700,12,3.7,150.8,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OC2CCN(CCOC)CC2
604023,604023,11,7300,12,3.6,150.4,CCCCCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)NCCOC
603788,603788,11,1500,12,3.6,150.8,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OC2CCN(COC)CC2
603801,603801,10,3000,12,4,158.7,CCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OCC2CCN(CC2)C(=O)C(F)(F)F
562827,562827,27,62000,12,2.4,129.1,CCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC=CC(=N2)C1=CC=CC=C1
604162,604162,280,100000,12,2.4,129.1,CC(C)OC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC=CC(=N2)C1=CC=CC=C1
603759,603759,3,460,12,3.6,150.4,CCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OCCC2CCNCC2
603755,603755,4.5,820,12,3.6,150.4,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OCC2CCNCC2
603760,603760,2.5,1000,12,3.6,150.4,CCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OCCC2CCCNC2
604263,604263,3.6,3200,12,3.5,149.4,CCCCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)CCCCO
602932,602932,4,910,12,3.2,144.4,CCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)N2CCC(CNC)CC2
603797,603797,5.3,620,12,3.5,150.8,CCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OCC2CCN(CCOC)CC2
603865,603865,356,100000,12,3.1,142,CCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=NC(=N3)C1=CC=CC=C1)C2=CC=CC=C2
603689,603689,10,4100,12,3.4,147.6,CCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OC2CCOCC2
603346,603346,120,36000,12,2.8,138.4,CCCOC3=CC(=NC(=C3)C1=CC=CC=C1)C(=O)NC(CCC(=O)O)C(=O)N2CCN(CC2)C(=O)OCC
603800,603800,1.3,1300,12,3.8,158.7,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OCC2CCN(CC2)C(=O)C
603790,603790,6.5,8200,12,4.2,167.9,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OC2CCN(CC2)C(=O)OCC
603776,603776,6,590,12,4.2,167.9,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OC(=O)N2CCC(CC2)OCC
603769,603769,7.7,1800,12,3.8,158.7,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OC(=O)N2CCCC2
562919,562919,18,1600,12,3.7,158.4,CCCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)N2CCC(CN)CC2
603688,603688,5.9,2200,12,3.2,147.6,CCCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)OCCCOC
566416,566416,9.9,4300,12,3.2,147.6,CCCCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)OCCOC
566442,566442,18,10000,12,2.9,141.6,CCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)N2CCC(COC)CC2
604024,604024,4,100000,12,2.9,141.6,CCCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)N(C)CCOC
604164,604164,79,100000,12,2,129.1,OC(=O)CCC(NC(=O)C2=CC=CC(=N2)C1=CC=CC=C1)C(=O)N3CCN(CC3)C(=O)OCCC#C
