Structure,Structure_ID,612285_Ki(nM),612286_IC50(nM),Data,calc_logP,calc_TPSA,SMILES
555820,555820,96,39000,13,2,138.4,CCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)OC
604189,604189,2.6,630,13,3.3,158.7,CCCCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)C(=O)N(C)CCCOC
603764,603764,5.5,2900,13,3.2,158.7,CCCCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)OC(=O)N(C)C
603765,603765,1.5,590,13,3.6,167.9,CCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OC(=O)N(C)CC2CCOCC2
561092,561092,35,45000,13,2.1,141.2,CCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)NC
603686,603686,5400,100000,13,0.3,129.1,CCOC(=O)N2CCN(CC2)C(=O)C(CCC(=O)O)NC(=O)C1=CC=CC=N1
604166,604166,17,1100,14,3.1,158.4,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)N2CCC(N)CC2
603687,603687,69,8200,14,2.4,147.6,CCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)OCCCOC
604393,604393,492,100000,14,1.6,138.4,COCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC=CC(=N2)C1=CC=CC=C1
604474,604474,31,8800,14,2.5,149.4,CCCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)O
603753,603753,3.7,2600,14,2.5,150.4,CCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OC2CCNC2
604090,604090,39,25000,14,1.8,141.6,CCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)N2CCOCC2
604272,604272,3.7,3100,14,3,158.7,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)CCC(=O)N2CCOCC2
603804,603804,12,1300,14,3.4,167.9,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OCC2CCN(CC2)C(=O)COC
604181,604181,13,9700,14,2.9,158.2,CCCCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)C(=O)NCC
603520,603520,18,21000,14,2.9,158.6,CCCCCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)OCCO
603598,603598,4.9,4500,14,2.9,158.6,CCCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)OCCCCO
604196,604196,5.8,530,14,2.6,152.7,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)C(=O)N2CCN(C)CC2
603783,603783,2.8,1200,14,3.4,167.9,CCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OC2CCN(CC2)C(=O)OC
603768,603768,2.3,470,14,3.4,167.9,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OC(=O)N(C)C2CCOC2
603774,603774,4.9,690,14,3.4,167.9,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OC(=O)N2CCC(C2)OC
568217,568217,76,4000,14,2.4,150.4,CCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OCC2CCNCC2
603763,603763,2,1100,14,2.9,158.7,CCCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)OC(=O)N(C)C
555832,555832,140,6000,14,2,147.6,CCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)OCCOC
603866,603866,1190,74000,14,1.4,142,CCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=NC=CC(=N2)C1=CC=CC=C1
604165,604165,3.5,910,14,2.7,158.4,CCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)N2CCC(N)CC2
603808,603808,7.4,2800,14,3.6,175.7,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OCC2CCN(CC2)S(=O)(=O)CC
559271,559271,68,1900,14,2.1,150.4,CCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OC2CCNCC2
604193,604193,4.4,710,14,2.7,158.7,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)C(=O)N2CCOCC2
561104,561104,99,14000,14,2.1,150.4,CCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)NCCOC
604176,604176,54,19000,14,2.2,152.6,CCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)N2CCC(CO)CC2
603613,603613,3.2,11000,14,3,164.7,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)NC(=O)N2CCN(C)CC2
604188,604188,4.6,5600,14,3.1,167.5,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)C(=O)NC2CCOCC2
604180,604180,10,6800,14,2.5,158.2,CCCCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)C(=O)NC
603692,603692,8.4,4500,14,2.9,164.4,CCCCCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)OCCN
603521,603521,6.9,2900,15,2.6,158.6,CCCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)OCCCO
557587,557587,31,12000,15,2.6,158.6,CCCCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)OCCO
603611,603611,4.7,3400,15,3.6,179.6,CCCCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)OC(C)(C)C)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)NC(=O)NCC(=O)N(C)C
603803,603803,2.6,1500,15,3.1,167.9,CCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OCC2CCN(CC2)C(=O)COC
604395,604395,62,24000,15,1.7,149.4,CCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)O
603772,603772,4.8,1700,15,3,167.9,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OC(=O)N2CCOCC2
603767,603767,1.8,520,15,3,167.9,CCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OC(=O)N(C)C2CCOC2
603773,603773,1.5,770,15,3,167.9,CCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OC(=O)N2CCC(C2)OC
555890,555890,42,9900,15,2,152.6,CCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)N2CCC(O)CC2
603931,603931,5.7,3800,15,2.6,161.4,CCCCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)NCCO
604187,604187,6.1,4600,15,2.9,167.5,CCCCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)C(=O)NCCCOC
603792,603792,5.1,5300,15,3.4,175.7,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OC2CCN(CC2)S(=O)(=O)CC
568276,568276,14,3300,15,2.2,158.4,CCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)N2CCC(CN)CC2
603807,603807,5.3,3000,15,3.2,175.7,CCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OCC2CCN(CC2)S(=O)(=O)CC
559303,559303,20,7900,15,2.2,158.6,CCCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)OCCO
603597,603597,132,13000,15,2.2,158.6,CCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)OCCCCO
603691,603691,8.8,2400,15,2.5,164.4,CCCCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)OCCN
604020,604020,87,57000,15,1.4,152.6,CCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)N(C)CCO
561151,561151,10,2800,15,1.9,158.4,CCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)N2CCC(N)CC2
603771,603771,1.7,760,15,2.6,167.9,CCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OC(=O)N2CCOCC2
604186,604186,7.9,8000,15,2.6,167.5,CCCCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)C(=O)NCCOC
603791,603791,7.6,3300,16,3,175.7,CCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OC2CCN(CC2)S(=O)(=O)CC
557544,557544,68,9000,16,1.8,158.6,CCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)OCCCO
604197,604197,1.7,320,16,2.5,169.8,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)C(=O)N2CCN(CC2)C(=O)C
555859,555859,157,7600,16,1.4,158.6,CCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)OCCO
566383,566383,117,12000,16,1.4,161.4,CCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)NCCO
604179,604179,7.5,8900,16,2.3,172.2,CCCCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)C(=O)N
561082,561082,328,7500,16,1.4,164.4,CCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)OCCN
